answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
659503,1286224,617795,a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches.,393,543,,What were the night's lodgings for the dog and the cock?,,"d. So they decided to leave the farmyard and to set out into the world along the road that led to the woods. The two comrades traveled along in the very best of spirits and without meeting any adventure to speak of.At nightfall the Cock, looking for a place to roost, as was his custom, spied nearby a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches. So said, so done, and both slept very comfortably.With the first glimmer of dawn the Cock awoke. For the moment he forgot just where he was. He thought he was still in the farmyard where it had been his duty to arouse the household at daybreak. So standing on tip-toes he flapped his wings and crowe"
659515,1286224,617796,He thought he was still in the farmyard where it had been his duty to arouse the household at daybreak.,685,788,,Why did the cock crow?,," nearby a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches. So said, so done, and both slept very comfortably.With the first glimmer of dawn the Cock awoke. For the moment he forgot just where he was. He thought he was still in the farmyard where it had been his duty to arouse the household at daybreak. So standing on tip-toes he flapped his wings and crowed lustily. But instead of awakening the farmer, he awakened a Fox not far off in the wood. The Fox immediately had rosy visions of a very delicious breakfast. Hurrying to the tree where the Cock was roosting, he said very politely:""A hearty welc"
659526,1286225,617797,"He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate.",74,233,,Why did the lion command all animals with horns to leave?,,"The Lion had been badly hurt by the horns of a Goat, which he was eating. He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.The command struck terror among the beasts. All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, pass"
659540,1286225,617798,"Hare, who, as you know, has no horns",464,500,,Why does the Hare have nothing to fear?,,"s to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.The command struck terror among the beasts. All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.""Goodby, neighbor Cricket,"" he called. ""I"
659542,1286225,617799,Cricket,777,784,,Who did the Hare address?,," you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.""Goodby, neighbor Cricket,"" he called. ""I'm off. He will certainly make out that my ears are horns, no matter what I say.""Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you."
659545,1286226,617800,himself ,171,179,,What did the dog see in the water?,,"A Dog, to whom the butcher had thrown a bone, was hurrying home with his prize as fast as he could go. As he crossed a narrow footbridge, he happened to look down and saw himself reflected in the quiet water as if in a mirror. But the greedy Dog thought he saw a real Dog carrying a bone much bigger than his own.If he had stopped to think he would have known better. But instead of thinking, he dropped his bone and sprang at the Dog in the river, only to find himself swimming "
659549,1286226,617801,greedy Dog thought he saw a real Dog carrying a bone much bigger than his own,235,312,,Why did the dog jump into the water?,,"A Dog, to whom the butcher had thrown a bone, was hurrying home with his prize as fast as he could go. As he crossed a narrow footbridge, he happened to look down and saw himself reflected in the quiet water as if in a mirror. But the greedy Dog thought he saw a real Dog carrying a bone much bigger than his own.If he had stopped to think he would have known better. But instead of thinking, he dropped his bone and sprang at the Dog in the river, only to find himself swimming for dear life to reach the shore. At last he managed to scramble out, and as he stood sadly thinking about the good bone he had lost,"
659553,1286226,617802, good bone,589,599,,What did the dog lose by jumping into the water?,,"uch bigger than his own.If he had stopped to think he would have known better. But instead of thinking, he dropped his bone and sprang at the Dog in the river, only to find himself swimming for dear life to reach the shore. At last he managed to scramble out, and as he stood sadly thinking about the good bone he had lost, he realized what a stupid Dog he had been.It is very foolish to be greedy."
659554,1286227,617803,walk straight forward with your toes turned out.,101,149,,How does the Mother Crab want the child to walk?,,"""Why in the world do you walk sideways like that?"" said a Mother Crab to her son. ""You should always walk straight forward with your toes turned out.""""Show me how to walk, mother dear,"" answered the little Crab obediently, ""I want to learn.""So the old Crab tried and tried to walk straight forward. But she could walk sideways only, like her son. And when she wanted to turn her toes out she tripped and fell on her nose.Do not tell others how to ac"
659555,1286227,617804,when she wanted to turn her toes out,351,387,,How did the Mother Crab fall?,,"said a Mother Crab to her son. ""You should always walk straight forward with your toes turned out.""""Show me how to walk, mother dear,"" answered the little Crab obediently, ""I want to learn.""So the old Crab tried and tried to walk straight forward. But she could walk sideways only, like her son. And when she wanted to turn her toes out she tripped and fell on her nose.Do not tell others how to act unless you can set a good example."
