answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
657800,1281119,613273,Rachel and Maggie,795,812,,Who is waiting for Uber?,,"there and wait for cars to pass by.I love the humming sound that comes from their speakers.Sometimes, I try and imagine whose inside each vehicle.Just like I pretend to know the names of thepeople down on the street.Amy and Paul who hold hands as they pass.Jill and Steven I saw him go in for a kiss.Rachel and Maggie talking and laughing before their Uber arrives.Wouldn't they be surprised to know I'm awake.I'm just being nosy, up here in my room.I lean my forehead against the hard smooth glass.It feels good on my skin.Where is everyone tonight?No happy couple. No group of friends.I can hear a motor cycle engin"
657801,1281119,613274,Amy and Paul,711,723,,Who are holding hands?,,"The sky is clear. Not even a star out tonight.Its unusually quiet this late.I stand there and wait for cars to pass by.I love the humming sound that comes from their speakers.Sometimes, I try and imagine whose inside each vehicle.Just like I pretend to know the names of thepeople down on the street.Amy and Paul who hold hands as they pass.Jill and Steven I saw him go in for a kiss.Rachel and Maggie talking and laughing before their Uber arrives.Wouldn't they be surprised to know I'm awake.I'm just being nosy, up here in my room.I lean my forehead against the hard smooth glass.It feels good on my skin.Wher"
657802,1281119,613275,Jill and Steven,752,767,,Who are going for a kiss?,,"ight.Its unusually quiet this late.I stand there and wait for cars to pass by.I love the humming sound that comes from their speakers.Sometimes, I try and imagine whose inside each vehicle.Just like I pretend to know the names of thepeople down on the street.Amy and Paul who hold hands as they pass.Jill and Steven I saw him go in for a kiss.Rachel and Maggie talking and laughing before their Uber arrives.Wouldn't they be surprised to know I'm awake.I'm just being nosy, up here in my room.I lean my forehead against the hard smooth glass.It feels good on my skin.Where is everyone tonight?No happy couple. No gr"
657803,1281119,613276,cars ,514,519,,Where does the humming sound come from?,,"h.Normally I lean against it.Because I like it so much.I have an amazing view up here where I am.Like my own private window of the world.The buildings are still aglow, there's a thin layer of snow.The sky is clear. Not even a star out tonight.Its unusually quiet this late.I stand there and wait for cars to pass by.I love the humming sound that comes from their speakers.Sometimes, I try and imagine whose inside each vehicle.Just like I pretend to know the names of thepeople down on the street.Amy and Paul who hold hands as they pass.Jill and Steven I saw him go in for a kiss.Rachel and Maggie talkin"
657804,1281119,613277,windows to the heart?,5082,5103,,What is broken apart?,," your thick brown hair.You have just looked up at me.I wave and you wave now too.I'm tired of pretending,I wish this were true.It feels worse than any migraineor physical pain.The thought of living life without youI guess I will slowly go insane.If eyes are the windows to the soul,then what are the windows to the heart?Please someone tell me.Because mine already broke apart."
657805,1281119,613278,son,2940,2943,,Who does the speaker miss?,,"unt of time nor space will make me forget you.I feel like a failure.You chose to go away.But you didn't just move out, you left without a trace.And my memories are what I hold on tobecause I can longer see your face.If I could tell you what you mean to me.That your unique not like any other.Your my son and I love you.But there's so much more I would say.How I can still hear your music.Or the sound of your alarm on your phone.The color of your eyes, the style of your hair.Please come back and see me I have to knowyour still out there.If I could change the past I most certainly would.I'd let you kn"
657806,1281119,613279,Mom,3327,3330,,Is the speaker the father or the mother?,,".Or the sound of your alarm on your phone.The color of your eyes, the style of your hair.Please come back and see me I have to knowyour still out there.If I could change the past I most certainly would.I'd let you know I'm sorry.So sorry I couldn't give you what you needed from me.Or be the kind of Mom you wanted me to be.Children don't come with instructions.They just hand them to you.Each child is different from all the rest.They will push us to the limit until we pass the test.Nobody explains that your going to f**k up,It is a thankless job and there is no pay.But its in fact the most perfect "
657807,1281119,613280,Mom ,3327,3331,,Who taught the boy how to throw a baseball?,,".Or the sound of your alarm on your phone.The color of your eyes, the style of your hair.Please come back and see me I have to knowyour still out there.If I could change the past I most certainly would.I'd let you know I'm sorry.So sorry I couldn't give you what you needed from me.Or be the kind of Mom you wanted me to be.Children don't come with instructions.They just hand them to you.Each child is different from all the rest.They will push us to the limit until we pass the test.Nobody explains that your going to f**k up,It is a thankless job and there is no pay.But its in fact the most perfect j"
657808,1281120,613281,husband,247,254,,Who purchased the home?,,"Emily Buggs awoke suddenly around 2 a.m. She wanted the feel of fresh air on her skin because she was drenched in sweat and spittle, and her satin nightie clung to her petite body. Her home, an ancient structure purchased at a 40% discount by her husband two years ago, was a brick structure that was either too hot or too cold.She rose slowly from her king-sized bed, her sheets rumpled, and put on her best pair of flip flops. She opened her window, which faced a small bush behind their fence, and felt compelled to eat. She had formed a bad habit of "
657809,1281120,613282,bland,817,822,,How did the cereal taste?,,"o eat. She had formed a bad habit of eating her favourite cereal, HEX, at odd hours for several weeks. She saw the golden brown package in the shopping centre three weeks ago and decided to give it a shot. She was hooked after she tried it. There was nothing special about it. The vanilla flavor was bland, but she adored it. Every meal left her wanting more. She had eaten around 14 boxes of cereal.She took the bowl of cereal into her room and sat by the window to slowly eat it. Brett, her husband, was out of the country on work. She was completely alone. She was on her fifth spoon when she found som"
